,장소,주차장수,면수,주차장수 대비 면수
247,서울특별시 강남구 역삼동 언주로 323 주변,1.0,735.0,735.0
248,서울특별시 강남구 역삼동 도곡로13길 19 주변,5.0,691.0,138.2
249,서울특별시 강남구 도곡동 467,2.0,955.0,477.5
250,서울특별시 강남구 역삼동 616-12,20.0,1366.0,68.3
251,서울특별시 강남구 신사동 언주로 851 주변,3.0,362.0,120.66666666666667
252,서울특별시 강남구 역삼동 709-5,12.0,2425.0,202.08333333333334
253,서울특별시 강남구 대치동 삼성로51길 7 주변,2.0,111.0,55.5
254,서울특별시 강남구 논현동 언주로 617 주변,2.0,251.0,125.5
255,서울특별시 강남구 논현동 148-14,16.0,741.0,46.3125
256,서울특별시 강남구 수서동 201-5,0.0,0.0,0.0
257,서울특별시 강남구 논현동 158-33,22.0,1032.0,46.90909090909091
258,서울특별시 강남구 삼성동 서울 강남구 삼성동 111-61,2.0,177.0,88.5
259,서울특별시 강남구 논현1동 논현로 부근,14.0,517.0,36.92857142857143
260,서울특별시 강남구 청담동 학동로 441 주변,2.0,230.0,115.0
261,서울특별시 강남구 개포동 195 개포동역,0.0,0.0,0.0
262,서울특별시 강남구 삼성동 삼성동 158-23 주변,12.0,6125.0,510.4166666666667
263,서울특별시 강남구 역삼동 646,16.0,2154.0,134.625
264,서울특별시 강남구 논현동 서울 강남구 학동로 158-2,11.0,515.0,46.81818181818182
265,서울특별시 강남구 삼성동 143,11.0,2781.0,252.8181818181818
266,서울특별시 강남구 삼성동 봉은사로86길 14 주변,4.0,2421.0,605.25
267,서울특별시 강남구 역삼동 언주로 534 주변,8.0,1904.0,238.0
268,서울특별시 강남구 논현1동 강남을지병원 부근,14.0,517.0,36.92857142857143
269,서울특별시 강남구 논현동 175-1,4.0,321.0,80.25
270,서울특별시 강남구 대치동 995,3.0,1402.0,467.3333333333333
271,서울특별시 강남구 대치동 891-25,11.0,2781.0,252.8181818181818
272,서울특별시 강남구 역삼동 665-1,5.0,1972.0,394.4
273,서울특별시 강남구 율현동 헌릉로745길 37 주변,0.0,0.0,0.0
